PRIMARY_LABEL,PRIMARY_CONTEXT,THRESHOLD
EXPLICIT NUDITY & SUGGESTIVE,EXPLICIT NUDITY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SENSUAL,0.99
EXPLICIT NUDITY & SUGGESTIVE,TOPLESS WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMEN BODYBUILDER,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN SHOWING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY WOMAN IN COSPLAY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY WOMAN SWIMMING,0.99
EXPLICIT NUDITY & SUGGESTIVE,BREAST CLEAVAGE,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE NIPPLE SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BREAST SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BREAST SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE BOOBS SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BOOBS SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE BUTT SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BUTT SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BEACH COSTUM WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY SWIMMING COSTUM WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN BODYBUILDER,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY SWIMWEAR WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY LINGERIE WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY THONG WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN EXPOSING NUDE BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN SHOWING NUDE BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN SHOWING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SHIRTLESS MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,MAN SHOWING NUDE CHEST,0.99
EXPLICIT NUDITY & SUGGESTIVE,MAN SHOWING BARED CHEST,0.99
EXPLICIT NUDITY & SUGGESTIVE,HALF-NUDE MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARECHESTED MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,EROTIC-ART,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXUAL-TOY,0.99
ALCOHOL,ALCOHOL,0.99
ALCOHOL,ALCOHOL BOTTLE,0.99
ALCOHOL,ALCOHOL GLASS,0.99
ALCOHOL,ALCOHOL BOTTLE ON THE TABLE,0.99
ALCOHOL,ALCOHOL GLASS ON THE TABLE,0.99
ALCOHOL,ALCOHOL GLASS KEPT,0.99
ALCOHOL,WINE,0.99
ALCOHOL,WINE BOTTLE,0.99
ALCOHOL,WINE GLASS,0.99
ALCOHOL,WINE BOTTLE ON THE TABLE,0.99
ALCOHOL,WINE GLASS ON THE TABLE,0.99
